text,translation
Outdoor access,야외로 통하는 경로
Not ready to be split,아직 분봉할 준비가 되지 않음
No available colony,사용 가능한 군체 없음
Colony to Install,설치할 군체
Return Colony To Install,설치할 군체를 가져오기
New handwear,새 손 장비
New footwear,새 발 장비
New headwear,새 머리 장비
New legwear,새 다리 장비
New bodywear,새 몸통 장비
Mat,재료
Mechanic's Workshop,기계공 작업장
became,상태 변경
down,
with,
devoured,잡아먹음:
enemy,수배-
struck,처치-
attacked,교전-
fought,격퇴-
childhood,
friends.,어린 시절 놀이 친구가 되었다
other,기타
Zones,구역
